location,date,age_group,target,value,population,value_numeric
49,2022-12-17,0-130,rate hosp,5.5,3376238.0,5.5
49,2022-12-17,0-130,inc hosp,185.69309,3376238.0,185.69309
49,2022-12-10,0-130,rate hosp,7.6,3376238.0,7.6
49,2022-12-10,0-130,inc hosp,256.594088,3376238.0,256.594088
49,2022-12-03,0-130,rate hosp,9.6,3376238.0,9.6
49,2022-12-03,0-130,inc hosp,324.118848,3376238.0,324.118848
49,2022-11-26,0-130,rate hosp,9.7,3376238.0,9.7
49,2022-11-26,0-130,inc hosp,327.495086,3376238.0,327.495086
49,2022-11-19,0-130,rate hosp,6.9,3376238.0,6.9
49,2022-11-19,0-130,inc hosp,232.960422,3376238.0,232.960422
49,2022-11-12,0-130,rate hosp,7.0,3376238.0,7.0
49,2022-11-12,0-130,inc hosp,236.33666,3376238.0,236.33666
49,2022-11-05,0-130,rate hosp,5.2,3376238.0,5.2
49,2022-11-05,0-130,inc hosp,175.564376,3376238.0,175.564376
49,2022-10-29,0-130,rate hosp,3.2,3376238.0,3.2
49,2022-10-29,0-130,inc hosp,108.039616,3376238.0,108.039616
49,2022-10-22,0-130,rate hosp,1.7,3376238.0,1.7
49,2022-10-22,0-130,inc hosp,57.396046,3376238.0,57.396046
49,2022-10-15,0-130,rate hosp,1.0,3376238.0,1.0
49,2022-10-15,0-130,inc hosp,33.76238,3376238.0,33.76238
49,2022-10-08,0-130,rate hosp,0.8,3376238.0,0.8
49,2022-10-08,0-130,inc hosp,27.009904,3376238.0,27.009904
49,2023-09-30,18-130,rate hosp,0.1,2444630.0,0.1
49,2023-09-30,18-130,inc hosp,2.44463,2444630.0,2.44463
49,2023-09-23,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-09-23,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-09-16,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-09-16,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-09-09,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-09-09,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-09-02,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-09-02,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-08-26,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-08-26,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-08-19,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-08-19,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-08-12,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-08-12,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-08-05,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-08-05,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-07-29,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-07-29,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-07-22,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-07-22,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-07-15,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-07-15,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-07-08,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-07-08,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-07-01,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-07-01,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-06-24,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-06-24,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-06-17,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-06-17,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-06-10,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-06-10,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-06-03,18-130,rate hosp,0.1,2444630.0,0.1
49,2023-06-03,18-130,inc hosp,2.44463,2444630.0,2.44463
49,2023-05-27,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-05-27,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-05-20,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-05-20,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-05-13,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-05-13,18-130,inc hosp,0.0,2444630.0,0.0
